"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 16:12:02 GMT 2023","Thu Apr 13 16:12:12 GMT 2023","10431","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"passed","Thu Apr 13 16:13:02 GMT 2023","Thu Apr 13 16:13:15 GMT 2023","13407","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"passed","Thu Apr 13 16:10:30 GMT 2023","Thu Apr 13 16:10:35 GMT 2023","5167","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Thu Apr 13 16:12:14 GMT 2023","Thu Apr 13 16:12:46 GMT 2023","32038","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése + módosítása",""
"passed","Thu Apr 13 16:11:49 GMT 2023","Thu Apr 13 16:12:00 GMT 2023","11452","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"passed","Thu Apr 13 16:11:28 GMT 2023","Thu Apr 13 16:11:48 GMT 2023","19168","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"passed","Thu Apr 13 16:12:47 GMT 2023","Thu Apr 13 16:13:00 GMT 2023","13387","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"passed","Thu Apr 13 16:11:06 GMT 2023","Thu Apr 13 16:11:12 GMT 2023","6342","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Thu Apr 13 16:11:14 GMT 2023","Thu Apr 13 16:11:27 GMT 2023","13432","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"passed","Thu Apr 13 16:10:36 GMT 2023","Thu Apr 13 16:10:39 GMT 2023","3197","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"passed","Thu Apr 13 16:10:43 GMT 2023","Thu Apr 13 16:11:05 GMT 2023","21179","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Thu Apr 13 16:10:41 GMT 2023","Thu Apr 13 16:10:42 GMT 2023","1190","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
